"time","Furttal","Glattal","Knonaueramt","Limmattal","Oberland","Pfannenstiel","Unterland","Weinland","Winterthur u. Umg.","Zimmerberg","Zürich","Kanton Zürich"
2002,100,100,100,100,100,100,100,100,100,100,100,100
2003,100.856164383562,98.9601386481802,100,99.2673992673993,100.194174757282,99.8158379373849,100,101.498127340824,100,99.6062992125984,97.9746835443038,99.5959595959596
2004,101.369863013699,99.4800693240901,101.747572815534,99.4505494505495,101.359223300971,100.552486187845,101.782531194296,102.621722846442,101.068376068376,100.787401574803,97.9746835443038,100.40404040404
2005,101.369863013699,99.4800693240901,102.330097087379,99.2673992673993,101.941747572816,100.73664825046,102.139037433155,103.370786516854,100.641025641026,100.787401574803,96.9620253164557,100.20202020202
2006,100.684931506849,98.9601386481802,103.300970873786,98.9010989010989,102.52427184466,101.289134438306,103.030303030303,104.868913857678,100.854700854701,100.787401574803,95.9493670886076,100.40404040404
2007,100.856164383562,99.3067590987868,103.883495145631,98.9010989010989,102.52427184466,101.657458563536,103.208556149733,105.805243445693,101.282051282051,100.984251968504,95.9493670886076,100.606060606061
2008,101.369863013699,98.6135181975737,103.300970873786,97.985347985348,102.52427184466,100.920810313076,103.030303030303,103.370786516854,100.854700854701,100.196850393701,93.6708860759494,99.7979797979798
2009,100.171232876712,97.4003466204506,103.68932038835,96.7032967032967,102.135922330097,100,102.317290552585,103.370786516854,100.641025641026,99.2125984251969,91.6455696202532,98.7878787878788
2010,100.856164383562,96.7071057192374,104.077669902913,97.0695970695971,103.106796116505,100.36832412523,102.673796791444,103.558052434457,100.854700854701,99.0157480314961,90.379746835443,98.7878787878788
2011,101.027397260274,96.1871750433276,104.660194174757,97.8021978021978,104.271844660194,100,102.852049910873,105.243445692884,100.854700854701,99.4094488188976,89.1139240506329,98.5858585858586
2012,103.595890410959,97.5736568457539,106.796116504854,100.3663003663,105.825242718447,101.289134438306,104.099821746881,106.928838951311,102.136752136752,100.196850393701,90.6329113924051,98.989898989899
2013,103.082191780822,97.7469670710572,106.990291262136,100.549450549451,105.825242718447,101.473296500921,104.991087344029,108.988764044944,102.564102564103,100.590551181102,89.873417721519,99.1919191919192
2014,102.568493150685,97.053726169844,107.184466019417,100.3663003663,105.631067961165,101.289134438306,104.991087344029,108.239700374532,102.136752136752,100.196850393701,88.8607594936709,98.7878787878788
2015,104.965753424658,96.5337954939341,108.155339805825,99.6336996336996,106.601941747573,101.289134438306,105.882352941176,108.052434456929,102.350427350427,100.196850393701,88.1012658227848,98.7878787878788
2016,105.13698630137,95.6672443674177,107.961165048544,97.985347985348,106.990291262136,101.104972375691,106.417112299465,108.426966292135,102.350427350427,99.8031496062992,87.0886075949367,98.3838383838384
2017,105.308219178082,94.8006932409012,107.378640776699,97.0695970695971,106.601941747573,100.552486187845,106.238859180036,108.801498127341,101.923076923077,99.2125984251969,86.0759493670886,97.7777777777778
2018,105.308219178082,94.4540727902946,107.184466019417,96.5201465201465,106.601941747573,100.184162062615,105.525846702317,108.239700374532,101.068376068376,98.6220472440945,84.8101265822785,96.969696969697
2019,105.13698630137,94.1074523396881,106.019417475728,96.1538461538462,106.601941747573,99.8158379373849,104.991087344029,108.239700374532,100.42735042735,97.8346456692913,82.2784810126582,96.1616161616162
